Dataset, Balancing, Feature Selection, Training Release, Classifier, Training% of total, Positive% in training, Positive% in testing, TP, FP, TN, FN, Precision, Recall, AUC, kappa
BOOKKEEPER, None, None, 2, NaiveBayes, 45.42372881355932, 58.95522388059702, 60.66252587991718, 170.0, 184.0, 109.0, 20.0, 0.480225988700565, 0.8947368421052632, 0.8278516256511587, 0.2316114542391914
BOOKKEEPER, None, None, 2, RandomForest, 45.42372881355932, 58.95522388059702, 60.66252587991718, 165.0, 9.0, 284.0, 25.0, 0.9482758620689655, 0.868421052631579, 0.9727591162205856, 0.8502899026364731
BOOKKEEPER, None, None, 2, IBk, 45.42372881355932, 58.95522388059702, 60.66252587991718, 174.0, 16.0, 277.0, 16.0, 0.9157894736842105, 0.9157894736842105, 0.930878390515538, 0.8611819651517874
BOOKKEEPER, None, None, 3, NaiveBayes, 56.58567774936062, 59.887005649717516, 56.553755522827686, 267.0, 180.0, 204.0, 28.0, 0.5973154362416108, 0.9050847457627119, 0.8343573446327683, 0.4117490253573689
BOOKKEEPER, None, None, 3, RandomForest, 56.58567774936062, 59.887005649717516, 56.553755522827686, 180.0, 0.0, 384.0, 115.0, 1.0, 0.6101694915254238, 0.9365421963276837, 0.639038483762857
BOOKKEEPER, None, None, 3, IBk, 56.58567774936062, 59.887005649717516, 56.553755522827686, 221.0, 15.0, 369.0, 74.0, 0.9364406779661016, 0.7491525423728813, 0.8570709745762712, 0.7269383531623206
BOOKKEEPER, None, None, 4, NaiveBayes, 69.72804279982167, 58.43989769820972, 56.70103092783505, 278.0, 234.0, 151.0, 16.0, 0.54296875, 0.9455782312925171, 0.9023942044350207, 0.3105703076135782
BOOKKEEPER, None, None, 4, RandomForest, 69.72804279982167, 58.43989769820972, 56.70103092783505, 294.0, 1.0, 384.0, 0.0, 0.9966101694915255, 1.0, 0.9989486703772418, 0.9970018236330479
BOOKKEEPER, None, None, 4, IBk, 69.72804279982167, 58.43989769820972, 56.70103092783505, 294.0, 1.0, 384.0, 0.0, 0.9966101694915255, 1.0, 0.9987012987012988, 0.9970018236330479
BOOKKEEPER, None, None, 5, NaiveBayes, 72.68308489954633, 57.91350869371378, 47.21233689205219, 419.0, 240.0, 158.0, 26.0, 0.6358118361153262, 0.9415730337078652, 0.9115295579018688, 0.3484521824024733
