Version, File, size, LOC_touched, LOC_added, MAX_LOC_Added, AVG_LOC_Added
1, hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java, 35, 37, 36, 18, 1
1, hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java, 41, 41, 41, 41, 41
1, hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java, 92, 94, 93, 47, 1
1, hedwig-protocol/Makefile, 0, 52, 26, 13, 26
1, hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java, 149, 155, 152, 76, 3
1, scripts/hw.bash, 0, 1468, 734, 367, 734
1, hedwig-server/src/test/resources/log4j.properties, 72, 84, 78, 26, 2
1, hedwig-client/src/main/cpp/lib/util.cpp, 145, 163, 154, 51, 9
1, hedwig-server/src/test/java/org/apache/hedwig/ServerControl.java, 0, 812, 406, 102, 237
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/CloseTest.java, 0, 148, 74, 37, 74
1, hedwig-client/src/main/cpp/scripts/log4cxx.conf, 49, 49, 49, 49, 49
1, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java, 105, 191, 148, 30, 2
1, conf/hw_server_sample.conf, 0, 20, 10, 5, 10
1, hedwig-client/src/main/cpp/lib/publisherimpl.h, 54, 54, 54, 54, 54
1, hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java, 54, 54, 54, 54, 54
1, scripts/hwServer.sh, 0, 202, 101, 51, 101
1, CHANGES.txt, 87, 109, 98, 3, 4
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java, 68, 90, 79, 40, 11
1, hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java, 57, 57, 57, 57, 57
1, hedwig-client/src/main/cpp/lib/client.cpp, 62, 62, 62, 21, 57
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java, 62, 62, 62, 62, 62
1, hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java, 53, 53, 53, 53, 53
1, bookkeeper/src/main/java/org/apache/bookkeeper/util/StringUtils.java, 0, 188, 94, 47, 94
1, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java, 35, 35, 35, 35, 35
1, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java, 177, 185, 181, 60, 2
1, hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java, 66, 92, 79, 40, 13
1, hedwig-client/src/main/cpp/m4/ax_doxygen.m4, 533, 533, 533, 533, 533
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java, 0, 340, 170, 85, 170
1, hedwig-server/src/test/java/org/apache/hedwig/ServerControlDaemon.java, 0, 578, 289, 72, 171
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java, 193, 193, 193, 193, 193
1, bookkeeper/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java, 0, 418, 209, 105, 209
1, hedwig-client/src/main/java/org/apache/hedwig/util/Either.java, 50, 50, 50, 50, 50
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java, 74, 78, 76, 38, 2
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java, 62, 62, 62, 62, 62
1, scripts/quote, 0, 46, 23, 12, 23
1, hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java, 48, 64, 56, 19, 5
1, doc/doc.txt, 0, 34, 17, 9, 17
1, doc/bookkeeperConfig.textile, 15, 197, 106, 21, 1
1, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java, 46, 48, 47, 24, 1
1, hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java, 116, 116, 116, 116, 116
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java, 71, 77, 74, 19, 1
1, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java, 29, 31, 30, 15, 1
