Version, File, Buggy
1, src/c/tests/TestWatchers.cc, Yes
1, zookeeper/java/src/com/yahoo/zookeeper/server/SessionTrackerImpl.java, No
1, src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java, Yes
1, src/java/main/org/apache/jute/compiler/JDouble.java, Yes
1, src/java/main/org/apache/jute/compiler/CGenerator.java, Yes
1, src/lastRevision.bat, Yes
1, zookeeper/java/src/com/yahoo/zookeeper/version/util/VerGen.java, No
1, zookeeper/java/src/com/yahoo/jute/compiler/CppGenerator.java, No
1, bin/zkCleanup.sh, Yes
1, src/java/lib/svnant/README.txt, Yes
1, src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java, Yes
1, src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java, Yes
1, src/java/test/org/apache/zookeeper/test/FLETest.java, Yes
1, src/java/main/org/apache/zookeeper/server/SessionTracker.java, Yes
1, zookeeper/conf/log4j.properties, No
1, src/c/tests/TestZookeeperInit.cc, Yes
1, zookeeper/c/LICENSE, No
1, zookeeper/java/src/com/yahoo/jute/compiler/JType.java, No
1, src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java, Yes
1, src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java, Yes
1, src/contrib/zkfuse/src/thread.h, Yes
1, src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java, Yes
1, zookeeper/java/jmx/com/yahoo/zookeeper/server/util/ObservableComponent.java, No
1, zookeeper/java/src/com/yahoo/jute/compiler/JRecord.java, No
1, zookeeper/java/src/com/yahoo/zookeeper/server/PrepRequestProcessor.java, No
1, zookeeper/java/src/com/yahoo/jute/compiler/generated/package.html, No
1, zookeeper/c/c-doc.Doxyfile, No
1, zookeeper/java/src/com/yahoo/jute/compiler/generated/rcc.jj, No
1, zookeeper/c/tests/MocksBase.h, No
1, docs/index.pdf, Yes
1, docs/skin/profile.css, Yes
1, docs/recipes.pdf, Yes
1, src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java, Yes
1, zookeeper/java/src/com/yahoo/zookeeper/server/quorum/AckRequestProcessor.java, No
1, src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java, Yes
1, zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerRequestProcessor.java, No
1, src/java/lib/junit-4.4.LICENSE.txt, Yes
1, src/java/test/org/apache/zookeeper/test/SyncCallTest.java, Yes
1, zookeeper/java/jmx/com/yahoo/zookeeper/jmx/server/DataTreeBean.java, No
1, zookeeper/java/src/com/yahoo/jute/InputArchive.java, No
1, src/c/src/recordio.c, Yes
1, src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java, Yes
1, zookeeper/java/src/com/yahoo/zookeeper/server/auth/ProviderRegistry.java, No
1, zookeeper/java/src/com/yahoo/jute/RecordReader.java, No
1, src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java, Yes
1, src/java/main/org/apache/jute/compiler/JField.java, Yes
1, src/c/src/hashtable/LICENSE.txt, Yes
1, src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java, Yes
1, zookeeper/java/src/com/yahoo/zookeeper/KeeperException.java, No
1, zookeeper/c/src/zk_log.h, No
1, zookeeper/java/src/com/yahoo/zookeeper/ClientCnxn.java, No
1, zookeeper/c/src/zk_log.c, No
1, docs/linkmap.html, Yes
1, zookeeper/java/lib/svnant/JAVASVN-LICENSE, No
1, src/c/Makefile.am, Yes
1, src/java/test/org/apache/zookeeper/test/LETest.java, Yes
1, src/contrib/zkfuse/src/zkadapter.cc, Yes
1, zookeeper/java/src/com/yahoo/zookeeper/server/LogFormatter.java, No
1, src/java/main/org/apache/jute/Record.java, Yes
1, docs/skin/CommonMessages_es.xml, Yes
1, docs/zookeeperInternals.html, Yes
1, src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java, Yes
1, zookeeper/c/src/zk_adaptor.h, No
1, zookeeper/java/jmx/com/yahoo/zookeeper/jmx/server/DataTreeMXBean.java, No
1, docs/releasenotes.html, Yes
1, zookeeper/java/src/com/yahoo/jute/compiler/JMap.java, No
1, src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java, Yes
1, src/c/src/st_adaptor.c, Yes
1, zookeeper/java/jmx/com/yahoo/zookeeper/jmx/server/ZooKeeperServerMXBean.java, No
1, zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FastLeaderElection.java, No
1, src/java/test/org/apache/zookeeper/test/UpgradeTest.java, Yes
1, src/java/main/org/apache/zookeeper/server/quorum/Follower.java, Yes
1, zookeeper/c/ChangeLog, No
1, zookeeper/java/jmx/com/yahoo/zookeeper/server/quorum/ObservableFollower.java, No
1, docs/zookeeperOtherInfo.pdf, Yes
1, src/docs/src/documentation/content/xdocs/zookeeperTutorial.xml, Yes
1, zookeeper/c/include/proto.h, No
1, src/java/main/org/apache/jute/RecordWriter.java, Yes
1, zookeeper/java/src/com/yahoo/jute/CsvOutputArchive.java, No
1, docs/skin/basic.css, Yes
1, zookeeper/bin/zkCleanup.sh, No
1, src/contrib/zkfuse/configure.ac, Yes
1, zookeeper/test/com/yahoo/zookeeper/test/SledgeHammer.java, No
1, zookeeper/java/src/com/yahoo/jute/compiler/JFile.java, No
1, zookeeper/java/src/com/yahoo/jute/compiler/generated/TokenMgrError.java, No
1, zookeeper/java/jmx/com/yahoo/zookeeper/jmx/server/ConnectionBean.java, No
1, zookeeper/zookeeper.jute, No
1, zookeeper/java/src/com/yahoo/jute/Index.java, No
1, zookeeper/c/tests/ThreadingUtil.cc, No
1, src/java/main/org/apache/zookeeper/server/persistence/Util.java, Yes
1, docs/skin/images/README.txt, Yes
1, zookeeper/c/tests/wrappers-mt.opt, No
1, zookeeper/test/com/yahoo/zookeeper/test/ZooKeeperTestClient.java, No
1, src/java/main/org/apache/zookeeper/ClientCnxn.java, Yes
1, src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java, Yes
1, src/java/main/org/apache/jute/compiler/JRecord.java, Yes
1, src/java/test/org/apache/zookeeper/test/WatcherFuncTest.java, Yes
1, src/c/tests/CollectionUtil.h, Yes
1, src/java/main/org/apache/jute/Utils.java, Yes
1, bin/zkServer.sh, Yes
1, src/java/lib/svnant/javasvn.LICENSE.txt, Yes
1, docs/skin/print.css, Yes
1, src/c/tests/LibCMocks.h, Yes
1, src/contrib/zkfuse/Makefile.am, Yes
1, README.txt, Yes
1, src/java/main/org/apache/zookeeper/server/ServerStats.java, Yes
1, src/docs/src/documentation/classes/CatalogManager.properties, Yes
1, src/java/main/org/apache/zookeeper/ClientWatchManager.java, Yes
1, src/java/main/org/apache/jute/compiler/generated/Rcc.java, Yes
1, zookeeper/java/src/com/yahoo/zookeeper/server/SessionTracker.java, No
1, src/java/main/org/apache/zookeeper/server/quorum/Leader.java, Yes
1, src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java, Yes
1, src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java, Yes
1, zookeeper/java/src/com/yahoo/zookeeper/server/auth/HostAuthenticationProvider.java, No
