Dataset, Balancing, Feature Selection, Training Release, Classifier, Training% of total, Positive% in training, Positive% in testing, TP, FP, TN, FN, Precision, Recall, Auc, kappa
ZOOKEEPER, None, None, 2, NaiveBayes, 49.82728842832469, 61.178509532062385, 61.44578313253012, 216.0, 11.0, 213.0, 141.0, 0.9515418502202643, 0.6050420168067226, 0.8627638555422169, 0.5016983963978197
ZOOKEEPER, None, None, 2, RandomForest, 49.82728842832469, 61.178509532062385, 61.44578313253012, 354.0, 0.0, 224.0, 3.0, 1.0, 0.9915966386554622, 1.0, 0.9891290111329404
ZOOKEEPER, None, None, 2, IBk, 49.82728842832469, 61.178509532062385, 61.44578313253012, 355.0, 0.0, 224.0, 2.0, 1.0, 0.9943977591036415, 0.9971988795518207, 0.9927466573451019
ZOOKEEPER, None, None, 3, NaiveBayes, 63.76651982378855, 61.3126079447323, 65.80547112462007, 223.0, 12.0, 213.0, 210.0, 0.948936170212766, 0.5150115473441108, 0.8672414677957403, 0.3811230585424134
ZOOKEEPER, None, None, 3, RandomForest, 63.76651982378855, 61.3126079447323, 65.80547112462007, 385.0, 1.0, 224.0, 48.0, 0.9974093264248705, 0.8891454965357968, 0.9990967410828843, 0.8424344902407318
ZOOKEEPER, None, None, 3, IBk, 63.76651982378855, 61.3126079447323, 65.80547112462007, 389.0, 0.0, 225.0, 44.0, 1.0, 0.8983833718244804, 0.9399538106235565, 0.8580798227468359
ZOOKEEPER, None, None, 4, NaiveBayes, 73.31449333871619, 62.940528634361236, 65.9606656580938, 228.0, 14.0, 211.0, 208.0, 0.9421487603305785, 0.5229357798165137, 0.9083843017329256, 0.3811853213794733
ZOOKEEPER, None, None, 4, RandomForest, 73.31449333871619, 62.940528634361236, 65.9606656580938, 436.0, 0.0, 225.0, 0.0, 1.0, 1.0, 1.0, 1.0
ZOOKEEPER, None, None, 4, IBk, 73.31449333871619, 62.940528634361236, 65.9606656580938, 433.0, 0.0, 225.0, 3.0, 1.0, 0.9931192660550459, 0.9942660550458715, 0.9899254698145127
ZOOKEEPER, None, None, 5, NaiveBayes, 75.44928419128846, 63.746467501009285, 72.08436724565756, 254.0, 14.0, 211.0, 327.0, 0.9477611940298507, 0.43717728055077454, 0.8819468349588832, 0.26290636615729535
ZOOKEEPER, None, None, 5, RandomForest, 75.44928419128846, 63.746467501009285, 72.08436724565756, 573.0, 0.0, 225.0, 8.0, 1.0, 0.9862306368330465, 1.0, 0.9756032962792001
ZOOKEEPER, None, None, 5, IBk, 75.44928419128846, 63.746467501009285, 72.08436724565756, 556.0, 0.0, 225.0, 25.0, 1.0, 0.9569707401032702, 0.9784853700516352, 0.9254669872387645
ZOOKEEPER, None, None, 6, NaiveBayes, 80.13180375884794, 65.79348157173317, 72.35872235872236, 262.0, 17.0, 208.0, 327.0, 0.9390681003584229, 0.44482173174872663, 0.9091265798905867, 0.25900129667363514
ZOOKEEPER, None, None, 6, RandomForest, 80.13180375884794, 65.79348157173317, 72.35872235872236, 588.0, 0.0, 225.0, 1.0, 1.0, 0.99830220713073, 1.0, 0.996933093205332
ZOOKEEPER, None, None, 6, IBk, 80.13180375884794, 65.79348157173317, 72.35872235872236, 585.0, 0.0, 225.0, 4.0, 1.0, 0.9932088285229203, 0.9957555178268251, 0.9877826390400215
ZOOKEEPER, None, None, 7, NaiveBayes, 82.61746319822545, 67.09787649499633, 73.66589327146171, 270.0, 17.0, 210.0, 365.0, 0.9407665505226481, 0.4251968503937008, 0.9118526483749003, 0.23471090514416393
ZOOKEEPER, None, None, 7, RandomForest, 82.61746319822545, 67.09787649499633, 73.66589327146171, 622.0, 2.0, 225.0, 13.0, 0.9967948717948718, 0.9795275590551181, 0.9997641264004995, 0.9558368456646332
ZOOKEEPER, None, None, 7, IBk, 82.61746319822545, 67.09787649499633, 73.66589327146171, 626.0, 1.0, 226.0, 9.0, 0.9984051036682615, 0.9858267716535433, 0.9907107426549655, 0.9704342934756511
ZOOKEEPER, None, None, 8, NaiveBayes, 83.80936285279702, 68.23956442831216, 76.30480167014613, 284.0, 16.0, 211.0, 447.0, 0.9466666666666667, 0.38850889192886456, 0.9086400260339768, 0.19221341181355606
ZOOKEEPER, None, None, 8, RandomForest, 83.80936285279702, 68.23956442831216, 76.30480167014613, 731.0, 0.0, 227.0, 0.0, 1.0, 1.0, 1.0, 1.0
ZOOKEEPER, None, None, 8, IBk, 83.80936285279702, 68.23956442831216, 76.30480167014613, 718.0, 0.0, 227.0, 13.0, 1.0, 0.9822161422708618, 0.9897400820793434, 0.9632002269329188
ZOOKEEPER, None, None, 9, NaiveBayes, 85.96542205433677, 69.54537772519858, 76.50103519668737, 295.0, 16.0, 211.0, 444.0, 0.9485530546623794, 0.39918809201623817, 0.9170208580472481, 0.19883456355631207
ZOOKEEPER, None, None, 9, RandomForest, 85.96542205433677, 69.54537772519858, 76.50103519668737, 739.0, 0.0, 227.0, 0.0, 1.0, 1.0, 1.0, 1.0
ZOOKEEPER, None, None, 9, IBk, 85.96542205433677, 69.54537772519858, 76.50103519668737, 736.0, 0.0, 227.0, 3.0, 1.0, 0.9959404600811907, 0.9979702300405954, 0.9914016650743825
ZOOKEEPER, None, None, 10, NaiveBayes, 83.9390243902439, 70.52157489466802, 82.76385725132877, 522.0, 17.0, 210.0, 568.0, 0.9684601113172542, 0.47889908256880737, 0.9216424847431597, 0.20603211342442548
ZOOKEEPER, None, None, 10, RandomForest, 83.9390243902439, 70.52157489466802, 82.76385725132877, 1090.0, 0.0, 227.0, 0.0, 1.0, 1.0, 1.0, 1.0
ZOOKEEPER, None, None, 10, IBk, 83.9390243902439, 70.52157489466802, 82.76385725132877, 1075.0, 0.0, 227.0, 15.0, 1.0, 0.9862385321100917, 0.9922018348623853, 0.9610972715904728
ZOOKEEPER, None, None, 11, NaiveBayes, 86.08923884514435, 72.48780487804878, 81.88679245283019, 526.0, 15.0, 225.0, 559.0, 0.9722735674676525, 0.4847926267281106, 0.9205817972350231, 0.22430850195822444
ZOOKEEPER, None, None, 11, RandomForest, 86.08923884514435, 72.48780487804878, 81.88679245283019, 1085.0, 13.0, 227.0, 0.0, 0.98816029143898, 1.0, 0.9804185867895545, 0.9662132342124102
ZOOKEEPER, None, None, 11, IBk, 86.08923884514435, 72.48780487804878, 81.88679245283019, 1083.0, 13.0, 227.0, 2.0, 0.9881386861313869, 0.9981566820276497, 0.9719950076804915, 0.9611440748379781
ZOOKEEPER, None, None, 12, NaiveBayes, 87.2013183191431, 73.79527559055119, 81.68812589413447, 681.0, 29.0, 227.0, 461.0, 0.9591549295774648, 0.5963222416812609, 0.8913604148423818, 0.2919367909238249
ZOOKEEPER, None, None, 12, RandomForest, 87.2013183191431, 73.79527559055119, 81.68812589413447, 1142.0, 28.0, 228.0, 0.0, 0.976068376068376, 1.0, 0.9584986591506129, 0.9300870161601439
ZOOKEEPER, None, None, 12, IBk, 87.2013183191431, 73.79527559055119, 81.68812589413447, 1132.0, 16.0, 240.0, 10.0, 0.9860627177700348, 0.9912434325744308, 0.9624870019702276, 0.9372648380705159
ZOOKEEPER, None, None, 13, NaiveBayes, 88.65351838324811, 74.80545637645335, 81.68812589413447, 675.0, 28.0, 228.0, 467.0, 0.9601706970128022, 0.5910683012259195, 0.9076353163309983, 0.28926789488711635
ZOOKEEPER, None, None, 13, RandomForest, 88.65351838324811, 74.80545637645335, 81.68812589413447, 1142.0, 0.0, 256.0, 0.0, 1.0, 1.0, 1.0, 1.0
